FUND CODE,ISIN,CUSIP,SEDOL,BASKET SHARES,CURRENCY CODE,CIL,TRADE COUNTRY,
FUND1,IE00BD845X29,G0084W101,BD845X2,111694,USD,N,US,
FUND1,US01609W1027,01609W102,BP41ZD1,22370,USD,N,US,
FUND1,US02079K1079,02079K107,BYY88Y7,16234,USD,N,US,
FUND1,US0231351067,23135106,2000019,10307,USD,N,US,
FUND1,US0258161092,25816109,2026082,71572,USD,N,US,
FUND1,US0374111054,37411105,2043962,203992,USD,N,US,
FUND1,US0605051046,60505104,2295677,61200,USD,N,US,
FUND1,US0640581007,64058100,B1Z77F6,148904,USD,N,US,
FUND1,US0846707026,84670702,2073390,94809,USD,N,US,
FUND1,US14040H1059,14040H105,2654461,142489,USD,N,US,
FUND1,US1266501006,126650100,2577609,16857,USD,N,US,
FUND1,CA2925051047,292505104,2793182,283587,USD,N,US,
FUND1,US30303M1027,30303M102,B7TL820,39638,USD,N,US,
FUND1,JE00BFYFZP55,BFYFZP5,BFYFZP5,79521,GBP,N,GB,
FUND1,US3696041033,369604103,2380498,302928,USD,N,US,
FUND1,US46625H1005,46625H100,2190385,70046,USD,N,US,
FUND1,CH0012214059,BZ3DNX4,BZ3DNX4,60924,EUR,N,FR,
FUND1,US5705351048,570535104,2566436,6499,USD,N,US,
FUND1,ZAE000015889,6622691,6622691,15332,ZAR,N,ZA,
FUND1,US6475811070,647581107,B1CN1G6,76264,USD,N,US,
FUND1,US74834L1008,74834L100,2702791,46515,USD,N,US,
FUND1,US9130171096,913017109,2915500,101412,USD,N,US,
FUND1,US9029733048,902973304,2736035,148410,USD,N,US,
FUND1,US9297401088,929740108,2955733,2105,USD,N,US,
FUND1,US9497461015,949746101,2649100,171130,USD,N,US,
FUND2,US0171751003,17175100,2016801,6909,USD,N,US,
FUND2,US02079K1079,02079K107,BYY88Y7,3948,USD,N,US,
FUND2,US0258161092,25816109,2026082,77378,USD,N,US,
FUND2,US0605051046,60505104,2295677,192120,USD,N,US,
FUND2,BMG0772R2087,G0772R208,BD8FF02,94658,USD,N,US,
FUND2,US0640581007,64058100,B1Z77F6,138255,USD,Y,US,
FUND2,US0846707026,84670702,2073390,49606,USD,N,US,
FUND2,US09253U1088,09253U108,B1YWNW1,45400,USD,N,US,
FUND2,US14040H1059,14040H105,2654461,113330,USD,N,US,
FUND2,US8085131055,808513105,2779397,45536,USD,N,US,
FUND2,CH0044328745,H1467J104,B3BQMF6,46575,USD,N,US,
FUND2,DK0010274414,4588825,4588825,57674,DKK,N,DK,
FUND2,SG1L01001701,6175203,6175203,244232,SGD,N,SG,
FUND2,NO0010031479,4263304,4263304,306436,NOK,N,NO,
FUND2,BMG3223R1088,G3223R108,2556868,13710,USD,N,US,
FUND2,US38141G1040,38141G104,2407966,20510,USD,N,US,
FUND2,KYG4095J1094,G4095J109,B1XRCZ3,104600,USD,N,US,
FUND2,US46625H1005,46625H100,2190385,65391,USD,Y,US,
FUND2,CH0102484968,B4R2R50,B4R2R50,114382,CHF,N,CH,
FUND2,US48251W1045,48251W104,BG1FRR1,142150,USD,N,US,
FUND2,US5404241086,540424108,2523022,117563,USD,N,US,
FUND2,US5705351048,570535104,2566436,7437,USD,N,US,
FUND2,US6934751057,693475105,2692665,31681,USD,N,US,
FUND2,US8574771031,857477103,2842040,60906,USD,N,US,
FUND2,CH0126881561,B545MG5,B545MG5,31260,CHF,N,CH,
FUND2,US9029733048,902973304,2736035,211438,USD,N,US,
FUND2,US92826C8394,92826C839,B2PZN04,11154,USD,N,US,
FUND2,US9497461015,949746101,2649100,134148,USD,N,US,
FUND3,IE00BD845X29,G0084W101,BD845X2,178799,USD,N,US,
FUND3,US01609W1027,01609W102,BP41ZD1,69674,USD,Y,US,
FUND3,US02079K1079,02079K107,BYY88Y7,12539,USD,Y,US,
FUND3,US0231351067,23135106,2000019,7257,USD,Y,US,
FUND3,US0374111054,37411105,2043962,206251,USD,N,US,
FUND3,US0382221051,38222105,2046552,89322,USD,N,US,
FUND3,US0567521085,56752108,B0FXT17,10194,USD,N,US,
FUND3,BMG0772R2087,G0772R208,BD8FF02,122681,USD,N,US,
FUND3,US0846707026,84670702,2073390,46999,USD,N,US,
FUND3,US14040H1059,14040H105,2654461,109236,USD,N,US,
FUND3,DK0010274414,4588825,4588825,207765,DKK,N,DK,
FUND3,SG1L01001701,6175203,6175203,310020,SGD,N,SG,
FUND3,NO0010031479,4263304,4263304,123632,NOK,N,NO,
FUND3,CA2925051047,292505104,2793182,760049,USD,N,US,
FUND3,US30303M1027,30303M102,B7TL820,43473,USD,N,US,
FUND3,US30711Y1029,30711Y102,BYQ7J61,79013,USD,N,US,
FUND3,JE00BFYFZP55,BFYFZP5,BFYFZP5,134464,GBP,N,GB,
FUND3,VGG456671053,G45667105,B0JCH50,477965,USD,N,US,
FUND3,INE646L01027,BYYZ7D0,BYYZ7D0,186664,INR,Y,IN,
FUND3,US46267X1081,46267X108,BYWT1W1,134796,USD,N,US,
FUND3,US47215P1066,47215P106,BMM27D9,387711,USD,Y,US,
FUND3,CH0102484968,B4R2R50,B4R2R50,13140,CHF,N,CH,
FUND3,CH0012214059,BZ3DNX4,BZ3DNX4,76630,EUR,N,FR,
FUND3,ZAE000015889,6622691,6622691,50748,ZAR,Y,ZA,
FUND3,US6475811070,647581107,B1CN1G6,159357,USD,Y,US,
FUND3,US65487X1028,65487X102,B5MDP39,73479,USD,N,US,
FUND3,US7491191034,749119103,BYWCCM7,219116,USD,N,US,
FUND3,CA81783Q1054,BRK0MM4,BRK0MM4,374430,CAD,N,CA,
FUND3,BRSULACDAM12,B27WYK0,B27WYK0,830297,BRL,Y,BR,
FUND3,US8761081012,876108101,BKXNG07,263434,USD,N,US,
FUND3,US9130171096,913017109,2915500,60347,USD,N,US,
FUND3,US9497461015,949746101,2649100,193018,USD,N,US,
FUND3,US98585L1008,98585L100,BYPHX26,144376,USD,N,US,
FUND4,US01609W1027,01609W102,BP41ZD1,44748,USD,Y,US,
FUND4,US05501U1060,05501U106,BDCT500,24616,USD,N,US,
FUND4,US0567521085,56752108,B0FXT17,7620,USD,N,US,
FUND4,BMG0772R2087,G0772R208,BD8FF02,114417,USD,N,US,
FUND4,DE000A1DAHH0,B4YVF56,B4YVF56,22225,EUR,N,DE,
FUND4,US22943F1003,22943F100,2208987,44196,USD,N,US,
FUND4,DK0010274414,4588825,4588825,171522,DKK,N,DK,
FUND4,SG1L01001701,6175203,6175203,257710,SGD,N,SG,
FUND4,NO0010031479,4263304,4263304,222484,NOK,N,NO,
FUND4,CA2925051047,292505104,2793182,404999,USD,N,US,
FUND4,US30711Y1029,30711Y102,BYQ7J61,342740,USD,N,US,
FUND4,JE00BFYFZP55,BFYFZP5,BFYFZP5,71101,GBP,N,GB,
FUND4,VGG456671053,G45667105,B0JCH50,242046,USD,N,US,
FUND4,INE646L01027,BYYZ7D0,BYYZ7D0,219103,INR,Y,IN,
FUND4,US46267X1081,46267X108,BYWT1W1,80872,USD,N,US,
FUND4,US47215P1066,47215P106,BMM27D9,196494,USD,Y,US,
FUND4,CH0102484968,B4R2R50,B4R2R50,79475,CHF,N,CH,
FUND4,CH0012214059,BZ3DNX4,BZ3DNX4,69215,EUR,N,FR,
FUND4,ZAE000015889,6622691,6622691,32349,ZAR,Y,ZA,
FUND4,US6475811070,647581107,B1CN1G6,122593,USD,Y,US,
FUND4,US65487X1028,65487X102,B5MDP39,52945,USD,N,US,
FUND4,US66987V1098,66987V109,2620105,21820,USD,N,US,
FUND4,CH0012032048,7110388,7110388,6822,CHF,N,CH,
FUND4,FR0000073272,B058TZ6,B058TZ6,36583,EUR,N,FR,
FUND4,FR0000121972,4834108,4834108,67353,EUR,Y,FR,
FUND4,CA81783Q1054,BRK0MM4,BRK0MM4,391583,CAD,N,CA,
FUND4,BRSULACDAM12,B27WYK0,B27WYK0,559000,BRL,Y,BR,
FUND4,US8761081012,876108101,BKXNG07,346343,USD,N,US,
FUND4,US98585L1008,98585L100,BYPHX26,98915,USD,N,US,
FUND4,US98980A1051,98980A105,BYYDFN0,87631,USD,N,US,